title,description,location,url
KM5,Libreria y papeleria,Primer piso del bloque C,https://www.uninorte.edu.co/documents/13542542/24840664/WhatsApp+Image+2022-05-02+at+1.05.38+PM.jpeg
du Nord Store,"Tienda de variedades como ropa, comida, regalos, medicamentos y accesorios","Frente a KM5, en el primer piso del bloque C",https://www.uninorte.edu.co/documents/13542542/24840664/WhatsApp+Image+2022-05-02+at+1.05.28+PM+%281%29.jpeg
Graphique,Centro de diseño e impresión digital,"Frente a la Plaza de comidas, entre el bloque F y el C",https://www.uninorte.edu.co/documents/13542542/24840664/WhatsApp+Image+2022-05-02+at+1.05.24+PM+%282%29.jpeg
Le Salon,"Sala especializada en el cuidado de cabello y cuidado de tu piel. Encuentra también servicios de estética, manicure y pedicure",Detras de Dunord Café,https://www.uninorte.edu.co/documents/13542542/24840664/WhatsApp+Image+2022-05-02+at+1.05.25+PM.jpeg
Gimnasio Uninorte,Gimnasio,Primer piso del Coliseo,https://www.uninorte.edu.co/documents/13542542/24840664/WhatsApp+Image+2022-05-02+at+1.05.28+PM+%282%29.jpeg
Auditorio Mavel Moreno,Eventos,"Primer piso del bloque F, a un lado de la Plaza de comidas",https://www.uninorte.edu.co/documents/13400067/25153145/AuditorioMarvelMoreno.jpg
Museo Mapuka,Museo Arqueológico de los Pueblos Karib,A un lado del Bloque K,https://www.uninorte.edu.co/documents/22460963/22891729/imagen_2022-04-05_151101.png
Cancha de tenis,,Entre el G y el Coliseo,https://www.uninorte.edu.co/documents/13400067/25223237/Finaltorneodetenis2019.jpg
Cancha de futbol,,Bloque M,https://www.uninorte.edu.co/documents/13352648/13579380/cancha-de-futbol-bloque-m.jpg
Coliseo los Fundadores,,A un lado del Bloque G,https://live.staticflickr.com/8683/15827666994_73f228a044_b.jpg
Biblioteca,,En frente de la entrada de la 51B,https://www.uninorte.edu.co/documents/13352648/13579380/Biblioteca-Karl-C-Parrish.jpg
Casablanca,Edificio de Gestión Administrativa Y Financiera,"Desde la entrada de la 51B, frente al bloque A",https://www.uninorte.edu.co/documents/20123/24159293/edificio-administrativo-casa-blanca-plaza-cuadrada.png
